aaron,ˈɛɹən
adapter,əˈdæptɝ
adapters,əˈdæptɝz
adaptive,əˈdæptɪv
adaptor,əˈdæptɝ
add,ˈæd
added,ˈædəd
addiction,əˈdɪkʃən
adding,ˈædɪŋ
addition,əˈdɪʃən
additional,əˈdɪʃənəɫ
additionally,əˈdɪʃəˌnəɫi
additions,əˈdɪʃənz
address,ˈæˌdɹɛs
addressed,əˈdɹɛst
addresses,ˈæˈdɹɛsɪz
addressing,əˈdɹɛsɪŋ
adds,ˈædz
adelaide,ˈædəˌɫeɪd
adequate,ˈædəˌkweɪt
adidas,əˈdidəs
adjacent,əˈdʒeɪsənt
adjust,əˈdʒəst
adjustable,əˈdʒəstəbəɫ
adjusted,əˈdʒəstɪd
adjustment,əˈdʒəstmənt
adjustments,əˈdʒəstmənts
admin,ˈædmɪn
administered,ədˈmɪnəstɝd
administration,ædˌmɪnɪˈstɹeɪʃən
administrative,ədˈmɪnəˌstɹeɪtɪv
administrator,ədˈmɪnəˌstɹeɪtɝ
administrators,ædˈmɪnɪˌstɹeɪtɝz
admission,ædˈmɪʃən
admissions,ædˈmɪʃənz
admit,ədˈmɪt
admitted,ədˈmɪtɪd
adobe,əˈdoʊbi
adolescent,ˌædəˈɫɛsənt
adopt,əˈdɑpt
adopted,əˈdɑptɪd
adoption,əˈdɑpʃən
adrian,ˈeɪdɹiən
ads,ˈædz
adsl,ˌeɪˌdiˌɛˈsɛɫ
adult,ˈædəɫt
adults,ˈædəɫts
advance,ədˈvæns
advanced,ədˈvænst
advancement,ədˈvænsmənt
advances,ədˈvænsəz
advantage,ædˈvæntɪdʒ
advantages,ædˈvæntɪdʒɪz
adventure,ædˈvɛntʃɝ
adventures,ædˈvɛntʃɝz
adverse,ˈædˌvɝs
advert,ˈædvɝt
advertise,ˈædvɝˌtaɪz
advertisement,ˌædvɝˈtaɪzmənt
advertisements,ˈædvɝˌtaɪzmənts
advertiser,ˈædvɝˌtaɪzɝ
advertisers,ˈædvɝˌtaɪzɝz
advertising,ˈædvɝˌtaɪzɪŋ
advice,ædˈvaɪs
advise,ædˈvaɪz
advised,ædˈvaɪzd
advisor,ædˈvaɪzɝ
advisors,ædˈvaɪzɝz
advisory,ædˈvaɪzɝi
advocacy,ˈædvəkəsi
advocate,ˈædvəˌkeɪt
aerial,ˈɛɹiəɫ
aerospace,ˈɛɹoʊˌspeɪs
affair,əˈfɛɹ
affairs,əˈfɛɹz
affect,əˈfɛkt
affected,əˈfɛktɪd
affecting,əˈfɛktɪŋ
affects,əˈfɛkts
affiliate,əˈfɪɫiˌeɪt
affiliated,əˈfɪɫiˌeɪtɪd
affiliates,əˈfɪɫiˌeɪts
affiliation,əˌfɪɫiˈeɪʃən
afford,əˈfɔɹd
affordable,əˈfɔɹdəbəɫ
afghanistan,æfˈɡænəˌstæn
afraid,əˈfɹeɪd
africa,ˈæfɝkə
african,ˈæfɹəkən
after,ˈæftɝ
afternoon,ˌæftɝˈnun
afterwards,ˈæftɝwɝdz
again,əˈɡeɪn
against,əˈɡeɪnst
age,ˈeɪdʒ
aged,ˈeɪdʒd
agencies,ˈeɪdʒənsiz
agency,ˈeɪdʒənsi
agenda,əˈdʒɛndə
agent,ˈeɪdʒənt
agents,ˈeɪdʒənts
ages,ˈeɪdʒəz
aggregate,ˈæɡɹəɡeɪt
aggressive,əˈɡɹɛsɪv
aging,ˈeɪdʒɪŋ
ago,əˈɡoʊ
agree,əˈɡɹi
agreed,əˈɡɹid
agreement,əˈɡɹimənt
agreements,əˈɡɹimənts
agrees,əˈɡɹiz
agricultural,ˌæɡɹəˈkəɫtʃɝəɫ
agriculture,ˈæɡɹɪˌkəɫtʃɝ
ah,ˈɑ
ahead,əˈhɛd
ai,ˈaɪ
aid,ˈeɪd
aids,ˈeɪdz
aim,ˈeɪm
aimed,ˈeɪmd
aims,ˈeɪmz
air,ˈɛɹ
aircraft,ˈɛɹˌkɹæft
airfare,ˈɛɹˌfɛɹ
airline,ˈɛɹˌɫaɪn
airlines,ˈɛɹˌɫaɪnz
airplane,ˈɛɹˌpɫeɪn
airport,ˈɛɹˌpɔɹt
airports,ˈɛɹˌpɔɹts
aka,ˈɑkə
alabama,ˌæɫəˈbæmə
alan,ˈæɫən
alarm,əˈɫɑɹm
alaska,əˈɫæskə
albania,æɫˈbeɪniə
albany,ˈɔɫbəni
albert,ˈæɫbɝt
alberta,æɫˈbɝtə
album,ˈæɫbəm
albums,ˈæɫbəmz
albuquerque,ˈæɫbəkɝki
alcohol,ˈæɫkəˌhɑɫ
alert,əˈɫɝt
alerts,əˈɫɝts
alex,ˈæɫəks
alexander,ˌæɫəɡˈzændɝ
alexandria,ˌæɫəɡˈzændɹiə
alfred,ˈæɫfɹəd
algebra,ˈæɫdʒəbɹə
algeria,æɫˈdʒɪɹiə
algorithm,ˈæɫɡɝˌɪðəm
algorithms,ˈæɫɡɝˌɪðəmz
ali,ˈɑɫi
alias,ˈeɪɫiəs
alice,ˈæɫəs
alien,ˈeɪɫiən
align,əˈɫaɪn
alignment,əˈɫaɪnmənt
alike,əˈɫaɪk
alive,əˈɫaɪv
all,ˈɔɫ
allah,ˈɑɫə
allan,ˈæɫən
alleged,əˈɫɛdʒd
allen,ˈæɫən
allergy,ˈæɫɝdʒi
alliance,əˈɫaɪəns
allied,ˈæˌɫaɪd
allocated,ˈæɫəˌkeɪtɪd
allocation,ˌæɫəˈkeɪʃən
allow,əˈɫaʊ
allowance,əˈɫaʊəns
allowed,əˈɫaʊd
allowing,əˈɫaʊɪŋ
allows,əˈɫaʊz
alloy,ˈæˌɫɔɪ
almost,ˈɔɫˌmoʊst
alone,əˈɫoʊn
along,əˈɫɔŋ
alot,əˈɫɑt
alpha,ˈæɫfə
alphabetical,ˌæɫfəˈbɛtɪkəɫ
alpine,ˈæɫˌpaɪn
already,ɔˈɹɛdi
also,ˈɔɫsoʊ
alt,ˈɑɫt
alter,ˈɔɫtɝ
altered,ˈɔɫtɝd
alternate,ˈɔɫtɝˌneɪt
alternative,ɔɫˈtɝnətɪv
alternatively,ɔɫˈtɝnətɪvɫi
alternatives,ɔɫˈtɝnətɪvz
although,ˌɔɫˈðoʊ
alto,ˈæɫtoʊ
aluminium,ˌæɫˈjumɪnəm
aluminum,əˈɫumənəm
alumni,əˈɫəmˌnaɪ
always,ˈɔɫˌweɪz
am,ˈæm
amanda,əˈmændə
amateur,ˈæməˌtɝ
amazing,əˈmeɪzɪŋ
amazon,ˈæməˌzɑn
ambassador,æmˈbæsədɝ
amber,ˈæmbɝ
ambien,ˈæmbiˌɛn
ambient,ˈæmbiənt
amd,ˈeɪˌɛmˈdi
amend,əˈmɛnd
amended,əˈmɛndɪd
amendment,əˈmɛndmənt
amendments,əˈmɛndmənts
amenities,əˈmɛnətiz
america,əˈmɛɹəkə
american,əˈmɛɹəkən
americans,əˈmɛɹəkənz
americas,əˈmɛɹəkəz
amino,əˈminoʊ
among,əˈməŋ
amongst,əˈməŋst
amount,əˈmaʊnt
amounts,əˈmaʊnts
amp,ˈæmp
amplifier,ˈæmpɫəˌfaɪɝ
amsterdam,ˈæmstɝˌdæm
amy,ˈeɪmi
an,ˈæn
anaheim,ˈænəˌhaɪm
analog,ˈænəˌɫɔɡ
analyses,əˈnæɫəˌsiz
analysis,əˈnæɫəsəs
analyst,ˈænəɫɪst
analysts,ˈænəɫɪsts
analytical,ˌænəˈɫɪtɪkəɫ
analyze,ˈænəˌɫaɪz
analyzed,ˈænəˌɫaɪzd
anatomy,əˈnætəmi
anchor,ˈæŋkɝ
ancient,ˈeɪnʃənt
and,ˈænd
anderson,ˈændɝsən
andorra,ænˈdɔɹə
andrea,ˈænˌdɹiə
andreas,ɑnˈdɹeɪəs
andrew,ˈændɹu
andrews,ˈænˌdɹuz
andy,ˈændi
angel,ˈeɪndʒəɫ
angela,ˈændʒəɫə
angeles,ˈændʒəɫɪs
angels,ˈeɪndʒəɫz
anger,ˈæŋɡɝ
angle,ˈæŋɡəɫ
angola,æŋˈɡoʊɫə
angry,ˈæŋɡɹi
animal,ˈænəməɫ
animals,ˈænəməɫz
animated,ˈænəˌmeɪtɪd
animation,ˌænəˈmeɪʃən
anime,ˌænɪˈmeɪ
anna,ˈænə
anne,ˈæn
annex,ˈæˌnɛks
annie,ˈæni
anniversary,ˌænəˈvɝsɝi
annotated,ˈænəˌteɪtəd
annotation,ˌænəˈteɪʃən
announce,əˈnaʊns
announced,əˈnaʊnst
announcement,əˈnaʊnsmənt
announcements,əˈnaʊnsmənts
announces,əˈnaʊnsɪz
annoying,əˈnɔɪɪŋ
annual,ˈænjuəɫ
annually,ˈænjuəɫi
anonymous,əˈnɑnəməs
another,əˈnəðɝ
answer,ˈænsɝ
answered,ˈænsɝd
answering,ˈænsɝɪŋ
answers,ˈænsɝz
ant,ˈænt
antarctica,ˌæˈnɑɹtɪkə
antenna,ænˈtɛnə
anthony,ˈænθəni
anthropology,ˌænθɹəˈpɑɫədʒi
anti,ˈænˌtaɪ
antibodies,ˈænɪˌbɑdiz
antibody,ˈæntiˌbɑdi
anticipated,ænˈtɪsəˌpeɪtɪd
antigua,ænˈtiɡwə
antique,ænˈtik
antiques,ænˈtiks
antivirus,ˌæntiˈvaɪɹəs
antonio,ænˈtoʊˌnioʊ
anxiety,æŋˈzaɪəti
any,ˈɛni
anybody,ˈɛnibədi
anymore,ˌɛniˈmɔɹ
anyone,ˈɛniˌwən
anything,ˈɛniˌθɪŋ
anytime,ˈɛniˌtaɪm
anyway,ˈɛniˌweɪ
anywhere,ˈɛniˌwɛɹ
apache,əˈpætʃi
apart,əˈpɑɹt
apartment,əˈpɑɹtmənt
apartments,əˈpɑɹtmənts
api,ˌeɪˌpiˈaɪ
apollo,əˈpɑɫoʊ
app,ˈæp
apparatus,ˌæpɝˈætəs
apparel,əˈpæɹəɫ
apparent,əˈpɛɹənt
apparently,əˈpɛɹəntɫi
appeal,əˈpiɫ
appeals,əˈpiɫz
appear,əˈpɪɹ
appearance,əˈpɪɹəns
appeared,əˈpɪɹd
appearing,əˈpɪɹɪŋ
appears,əˈpɪɹz
appendix,əˈpɛndɪks
apple,ˈæpəɫ
appliance,əˈpɫaɪəns
appliances,əˈpɫaɪənsəz
applicable,ˈæpɫəkəbəɫ
applicant,ˈæpɫɪkənt
applicants,ˈæpɫɪkənts
application,ˌæpɫəˈkeɪʃən
applications,ˌæpɫəˈkeɪʃənz
applied,əˈpɫaɪd
applies,əˈpɫaɪz
apply,əˈpɫaɪ
applying,əˈpɫaɪɪŋ
appointed,əˈpɔɪntɪd
appointment,əˈpɔɪntmənt
appointments,əˈpɔɪntmənts
appraisal,əˈpɹeɪzəɫ
appreciate,əˈpɹiʃiˌeɪt
appreciated,əˈpɹiʃiˌeɪtɪd
appreciation,əˌpɹiʃiˈeɪʃən
approach,əˈpɹoʊtʃ
approaches,əˈpɹoʊtʃəz
appropriate,əˈpɹoʊpɹiˌeɪt
appropriations,əˌpɹoʊpɹiˈeɪʃənz
approval,əˈpɹuvəɫ
approve,əˈpɹuv
approved,əˈpɹuvd
approximate,əˈpɹɑksəˌmeɪt
approximately,əˈpɹɑksəmətɫi
apps,ˈæps
april,ˈeɪpɹəɫ
apt,ˈæpt
aqua,ˈækwə
aquarium,əˈkwɛɹiəm
aquatic,əˈkwætɪk
arab,ˈæɹəb
arabia,əˈɹeɪbiə
arabic,ˈæɹəbɪk
arbitrary,ˈɑɹbəˌtɹɛɹi
arbitration,ˌɑɹbɪˈtɹeɪʃən
arbor,ˈɑɹbɝ
arc,ˈɑɹk
arcade,ɑɹˈkeɪd
arch,ˈɑɹtʃ
architect,ˈɑɹkəˌtɛkt
architects,ˈɑɹkəˌtɛkts
architectural,ˌɑɹkəˈtɛktʃɝəɫ
architecture,ˈɑɹkəˌtɛktʃɝ
archive,ˈɑɹˌkaɪv
archived,ˈɑɹˌkaɪvd
archives,ˈɑɹˌkaɪvz
arctic,ˈɑɹktɪk
are,ˈɑɹ
area,ˈɛɹiə
areas,ˈɛɹiəz
arena,ɝˈinə
argentina,ˌɑɹdʒənˈtinə
argue,ˈɑɹɡju
argued,ˈɑɹɡjud
argument,ˈɑɹɡjəmənt
arguments,ˈɑɹɡjəmənts
arise,ɝˈaɪz
arising,ɝˈaɪzɪŋ
arizona,ˌɛɹɪˈzoʊnə
arkansas,ˈɑɹkənˌsɑ
arlington,ˈɑɹɫɪŋtən
arm,ˈɑɹm
armed,ˈɑɹmd
armenia,ɑɹˈminiə
armor,ˈɑɹmɝ
arms,ˈɑɹmz
armstrong,ˈɑɹmˌstɹɑŋ
army,ˈɑɹmi
arnold,ˈɑɹnəɫd
around,ɝˈaʊn
arrange,ɝˈeɪndʒ
arranged,ɝˈeɪndʒd
arrangement,ɝˈeɪndʒmənt
arrangements,ɝˈeɪndʒmənts
array,ɝˈeɪ
arrest,ɝˈɛst
arrested,ɝˈɛstɪd
arrival,ɝˈaɪvəɫ
arrivals,ɝˈaɪvəɫz
arrive,ɝˈaɪv
arrived,ɝˈaɪvd
arrives,ɝˈaɪvz
arrow,ˈæɹoʊ
art,ˈɑɹt
arthritis,ɑɹˈθɹaɪtəs
arthur,ˈɑɹθɝ
article,ˈɑɹtəkəɫ
articles,ˈɑɹtəkəɫz
artificial,ˌɑɹtəˈfɪʃəɫ
artist,ˈɑɹtəst
artistic,ɑɹˈtɪstɪk
artists,ˈɑɹtɪsts
arts,ˈɑɹts
artwork,ˈɑɹtˌwɝk
aruba,ɝˈubə
as,ˈæz
asbestos,æsˈbɛstəs
ascii,ˈæski
ash,ˈæʃ
ashley,ˈæʃɫi
asia,ˈeɪʒə
asian,ˈeɪʒən
aside,əˈsaɪd
ask,ˈæsk
asked,ˈæskt
asking,ˈæskɪŋ
asks,ˈæsks
aspect,ˈæsˌpɛkt
aspects,ˈæsˌpɛkts
ass,ˈæs
assault,əˈsɔɫt
assembled,əˈsɛmbəɫd
assembly,əˈsɛmbɫi
assess,əˈsɛs
assessed,əˈsɛst
assessing,əˈsɛsɪŋ
assessment,əˈsɛsmənt
assessments,əˈsɛsmənts
asset,ˈæˌsɛt
assets,ˈæˌsɛts
assign,əˈsaɪn
assigned,əˈsaɪnd
assignment,əˈsaɪnmənt
assignments,əˈsaɪnmənts
assist,əˈsɪst
assistance,əˈsɪstəns
assistant,əˈsɪstənt
assisted,əˈsɪstɪd
assists,əˈsɪsts
associate,əˈsoʊsiˌeɪt
associated,əˈsoʊsiˌeɪtɪd
associates,əˈsoʊsiˌeɪts
association,əˌsoʊsiˈeɪʃən
associations,əˌsoʊsiˈeɪʃənz
assume,əˈsum
assumed,əˈsumd
assumes,əˈsumz
assuming,əˈsumɪŋ
assumption,əˈsəmpʃən
assumptions,əˈsəmpʃənz
assurance,əˈʃʊɹəns
assure,əˈʃʊɹ
assured,əˈʃʊɹd
asthma,ˈæzmə
astrology,əˈstɹɑɫədʒi
astronomy,əˈstɹɑnəmi
asus,ˈeɪsəs
asylum,əˈsaɪɫəm
at,ˈæt
athens,ˈæθənz
athletes,ˈæθˌɫits
athletic,æθˈɫɛtɪk
athletics,æθˈɫɛtɪks
atlanta,ætˈɫæntə
atlantic,ətˈɫænɪk
atlas,ˈætɫəs
atm,ˈeɪˌtiˈɛm
atmosphere,ˈætməsˌfɪɹ
atmospheric,ˌætməsˈfɛɹɪk
atom,ˈætəm
atomic,əˈtɑmɪk
attach,əˈtætʃ
attached,əˈtætʃt
attachment,əˈtætʃmənt
attachments,əˈtætʃmənts
attack,əˈtæk
attacked,əˈtækt
attacks,əˈtæks
attempt,əˈtɛmpt
attempted,əˈtɛmptɪd
attempting,əˈtɛmptɪŋ
attempts,əˈtɛmps
attend,əˈtɛnd
attendance,əˈtɛndəns
attended,əˈtɛndɪd
attending,əˈtɛndɪŋ
attention,əˈtɛnʃən
attitude,ˈætəˌtud
attitudes,ˈætəˌtudz
attorney,əˈtɝni
attorneys,əˈtɝniz
attract,əˈtɹækt
attraction,əˈtɹækʃən
attractions,əˈtɹækʃənz
attractive,əˈtɹæktɪv
attribute,ˈætɹəbˌjut
attributes,ˈætɹəbˌjuts
auburn,ˈɑbɝn
auckland,ˈɑkɫənd
auction,ˈɑkʃən
auctions,ˈɑkʃənz
audi,ˈaʊdi
audience,ˈɑdiəns
audio,ˈɑdiˌoʊ
audit,ˈɔdɪt
auditor,ˈɔdɪtɝ
august,ˈɑɡəst
aurora,ɝˈɔɹə
austin,ˈɔstən
australia,ɔˈstɹeɪɫjə
australian,ɔˈstɹeɪɫjən
austria,ˈɔstɹiə
authentic,əˈθɛnɪk
authentication,ɔˌθɛntəˈkeɪʃən
author,ˈɔθɝ
authorities,əˈθɔɹətiz
authority,əˈθɔɹəti
authorization,ˌɔθɝəˈzeɪʃən
authorized,ˈɔθɝˌaɪzd
authors,ˈɔθɝz
auto,ˈɔtoʊ
automated,ˈɔtəˌmeɪtɪd
automatic,ˌɔtəˈmætɪk
automatically,ˌɔtəˈmætɪkɫi
automation,ɔtəˈmeɪʃən
automobile,ˈɔtəmoʊˌbiɫ
automobiles,ˈɔtəmoʊˌbiɫz
automotive,ˌɔtəˈmoʊtɪv
autos,ˈɔtoʊz
autumn,ˈɔtəm
availability,əˌveɪɫəˈbɪɫəti
available,əˈveɪɫəbəɫ
avatar,ˈævəˌtɑɹ
avenue,ˈævəˌnu
average,ˈævɝɪdʒ
avi,ˈɑˌvi
aviation,ˌeɪviˈeɪʃən
avoid,əˈvɔɪd
avoiding,əˈvɔɪdɪŋ
avon,ˈeɪvɑn
aw,ˈɔ
award,əˈwɔɹd
awarded,əˈwɔɹdɪd
awards,əˈwɔɹdz
aware,əˈwɛɹ
awareness,əˈwɛɹnəs
away,əˈweɪ
awesome,ˈɑsəm
awful,ˈɑfəɫ
axis,ˈæksəs
aye,ˈaɪ
azerbaijan,ˌæzɝbaɪˈdʒɑn
babe,ˈbeɪb
babes,ˈbeɪbz
babies,ˈbeɪbiz
baby,ˈbeɪbi
bachelor,ˈbætʃəɫɝ
back,ˈbæk
backed,ˈbækt
background,ˈbækˌɡɹaʊnd
backgrounds,ˈbækˌɡɹaʊndz
backing,ˈbækɪŋ
backup,ˈbæˌkəp
bacon,ˈbeɪkən
bacteria,bækˈtɪɹiə
bacterial,bækˈtɪɹiəɫ
bad,ˈbæd
badge,ˈbædʒ
badly,ˈbædɫi
bag,ˈbæɡ
baghdad,ˈbæɡdæd
bags,ˈbæɡz
bahamas,bəˈhɑməz
bahrain,baɪˈɹeɪn
bailey,ˈbeɪɫi
baker,ˈbeɪkɝ
baking,ˈbeɪkɪŋ
balance,ˈbæɫəns
balanced,ˈbæɫənst
bald,ˈbɔɫd
bali,ˈbɑɫi
ball,ˈbɔɫ
ballet,bæˈɫeɪ
balloon,bəˈɫun
ballot,ˈbæɫət
balls,ˈbɔɫz
baltimore,ˈbɔɫtəˌmɔɹ
ban,ˈbæn
banana,bəˈnænə
band,ˈbænd
bands,ˈbændz
bandwidth,ˈbændwɪdθ
bang,ˈbæŋ
bangkok,ˈbæŋkɑk
bangladesh,ˈbæŋɫəˌdɛʃ
bank,ˈbæŋk
banking,ˈbæŋkɪŋ
bankruptcy,ˈbæŋkɹəpsi
banks,ˈbæŋks
banned,ˈbænd
banner,ˈbænɝ
banners,ˈbænɝz
baptist,ˈbæptəst
bar,ˈbɑɹ
barbados,bɑɹˈbeɪdoʊs
barbara,ˈbɑɹbɝə
barbie,ˈbɑɹbi
barcelona,ˌbɑɹsɪˈɫoʊnə
bare,ˈbɛɹ
barely,ˈbɛɹɫi
bargain,ˈbɑɹɡən
bargains,ˈbɑɹɡənz
barn,ˈbɑɹn
barnes,ˈbɑɹnz
barrel,ˈbæɹəɫ
barrier,ˈbæɹiɝ
barriers,ˈbæɹiɝz
barry,ˈbæɹi
bars,ˈbɑɹz
base,ˈbeɪs
baseball,ˈbeɪsˈbɔɫ
based,ˈbeɪst
baseline,ˈbeɪˌsɫaɪn
basement,ˈbeɪsmənt
bases,ˈbeɪsəz
basic,ˈbeɪsɪk
basically,ˈbeɪsɪkɫi
basics,ˈbeɪsɪks
basin,ˈbeɪsən
basis,ˈbeɪsəs
basket,ˈbæskət
basketball,ˈbæskətˌbɔɫ
baskets,ˈbæskəts
bass,ˈbæs
bat,ˈbæt
batch,ˈbætʃ
bath,ˈbæθ
bathroom,ˈbæˌθɹum
bathrooms,ˈbæˌθɹumz
baths,ˈbæθs
batman,ˈbætˌmæn
batteries,ˈbætɝiz
battery,ˈbætɝi
battle,ˈbætəɫ
battlefield,ˈbætəɫˌfiɫd
bay,ˈbeɪ
bbc,ˌbibiˈsi
bc,ˌbiˈsi
be,ˈbi
beach,ˈbitʃ
beaches,ˈbitʃəz
beads,ˈbidz
beam,ˈbim
bean,ˈbin
beans,ˈbinz
bear,ˈbɛɹ
bearing,ˈbɛɹɪŋ
bears,ˈbɛɹz
beast,ˈbist
beat,ˈbit
beatles,ˈbitəɫz
beats,ˈbits
beautiful,ˈbjutəfəɫ
beautifully,ˈbjutəfɫi
beauty,ˈbjuti
beaver,ˈbivɝ
became,biˈkeɪm
because,bɪˈkɑz
become,bɪˈkəm
becomes,bɪˈkəmz
becoming,bɪˈkəmɪŋ
bed,ˈbɛd
bedding,ˈbɛdɪŋ
bedford,ˈbɛdfɝd
bedroom,ˈbɛˌdɹum
bedrooms,ˈbɛˌdɹumz
beds,ˈbɛdz
bee,ˈbi
beef,ˈbif
been,ˈbɪn
beer,ˈbɪɹ
before,ˌbiˈfɔɹ
began,biˈɡæn
begin,bɪˈɡɪn
beginner,bɪˈɡɪnɝ
beginners,bɪˈɡɪnɝz
beginning,bɪˈɡɪnɪŋ
begins,bɪˈɡɪnz
begun,ˈbeɪɡən
behalf,bɪˈhæf
behavior,bɪˈheɪvjɝ
behavioral,biˈheɪvjɝəɫ
behaviour,bɪˈheɪvjɝ
behind,bɪˈhaɪnd
beijing,ˌbeɪˈʒɪŋ
being,ˈbiɪŋ
beings,ˈbiɪŋz
belarus,bɛˈɫɑɹəs
belfast,ˈbɛɫˌfæst
belgium,ˈbɛɫdʒəm
belief,bɪˈɫif
beliefs,bɪˈɫifs
believe,bɪˈɫiv
believed,bɪˈɫivd
believes,bɪˈɫivz
belize,bɛˈɫiz
belkin,ˈbɛɫkɪn
bell,ˈbɛɫ
belle,ˈbɛɫ
belly,ˈbɛɫi
belong,bɪˈɫɔŋ
belongs,bɪˈɫɔŋz
below,biˈɫoʊ
belt,ˈbɛɫt
belts,ˈbɛɫts
ben,ˈbɛn
bench,ˈbɛntʃ
benchmark,ˈbɛntʃˌmɑɹk
bend,ˈbɛnd
beneath,bɪˈniθ
beneficial,ˌbɛnəˈfɪʃəɫ
benefit,ˈbɛnəfɪt
benefits,ˈbɛnəfɪts
benjamin,ˈbɛndʒəmən
bennett,ˈbɛnət
bent,ˈbɛnt
benz,ˈbænz
berkeley,ˈbɝkɫi
berlin,bɝˈɫɪn
bermuda,bɝmˈjudə
bernard,ˈbɝnɝd
berry,ˈbɛɹi
beside,ˌbiˈsaɪd
besides,ˌbiˈsaɪdz
best,ˈbɛst
bestiality,bɛsˈtʃæɫɪti
bestsellers,ˈbɛˈsɛɫɝz
bet,ˈbɛt
beta,ˈbeɪtə
beth,ˈbɛθ
better,ˈbɛtɝ
betting,ˈbɛtɪŋ
betty,ˈbɛti
between,bitˈwin
beverage,ˈbɛvɝɪdʒ
beverages,ˈbɛvɹɪdʒɪz
beverly,ˈbɛvɝɫi
beyond,ˌbiˈɔnd
bhutan,ˌbuˈtæn
bi,ˈbaɪ
bias,ˈbaɪəs
bible,ˈbaɪbəɫ
biblical,ˈbɪbɫəkəɫ
bibliographic,ˌbɪbɫiˈɑˌɡɹɑfɪk
bibliography,ˌbɪbɫiˈɑɡɹəfi
bicycle,ˈbaɪsɪkəɫ
bid,ˈbɪd
bidder,ˈbɪdɝ
bidding,ˈbɪdɪŋ
bids,ˈbɪdz
big,ˈbɪɡ
bigger,ˈbɪɡɝ
biggest,ˈbɪɡəst
bike,ˈbaɪk
bikes,ˈbaɪks
bikini,bɪˈkini
bill,ˈbɪɫ
billing,ˈbɪɫɪŋ
billion,ˈbɪɫjən
bills,ˈbɪɫz
billy,ˈbɪɫi
bin,ˈbɪn
binary,ˈbaɪnɝi
bind,ˈbaɪnd
binding,ˈbaɪndɪŋ
bingo,ˈbɪŋɡoʊ
bio,ˌbaɪˈoʊ
